first_name,last_name,email,phone,active,manager_id,staff_id,store_id
Fabiola,Jackson,fabiola.jackson@bikes.shop,(831) 555-5554,1,,1,1
Mireya,Copeland,mireya.copeland@bikes.shop,(831) 555-5555,1,1.0,2,1
Genna,Serrano,genna.serrano@bikes.shop,(831) 555-5556,1,2.0,3,1
Virgie,Wiggins,virgie.wiggins@bikes.shop,(831) 555-5557,1,2.0,4,1
Jannette,David,jannette.david@bikes.shop,(516) 379-4444,1,1.0,5,2
Marcelene,Boyer,marcelene.boyer@bikes.shop,(516) 379-4445,1,5.0,6,2
Venita,Daniel,venita.daniel@bikes.shop,(516) 379-4446,1,5.0,7,2
Kali,Vargas,kali.vargas@bikes.shop,(972) 530-5555,1,1.0,8,3
Layla,Terrell,layla.terrell@bikes.shop,(972) 530-5556,1,7.0,9,3
Bernardine,Houston,bernardine.houston@bikes.shop,(972) 530-5557,1,7.0,10,3
